DateTime,Entries,UniqueIPs
1440197422,3600,606820488
1440284413,3600,606815624
1440545630,3607,606807688
1440632447,3607,606789512
1440632447,3607,606789512
1440719451,3611,606771336
1440806406,3615,606759816
1440893431,3618,606754952
1441154434,3617,606745224
1441241442,3619,606738568
1441328406,3619,606731400
1441415647,3620,606850184
1441502549,3623,606837128
1441764647,3622,606817672
1441851611,3626,606807944
1441938623,3626,606796168
1442025624,3624,606778760
1442112608,3630,606786952
1442373702,3629,606774408
1442461209,3633,606761224
1442548592,3636,606755848
1442548592,3636,606755848
1442635210,3634,606740744
1442722216,3637,606730504
1442983212,3635,606713096
1443070215,3636,606701832
1443157205,3637,606691080
1443244516,3638,606675720
1443505966,3643,606665992
1443592806,3646,606655240
1443679811,3651,606646536
1443766812,3650,606635304
1443853828,3652,606622504
1444114812,3652,606617640
1444201834,3657,606601512
1444288835,3659,606592296
1444375836,3663,606577960
1444462830,3660,606551592
1444723808,3662,606536488
1444897803,3660,606510920
1444984810,3662,606499912
1445071839,3662,606491976
1445333825,3664,606480968
1445421604,3665,606466632
1445508605,3666,606450760
1445595608,3664,606432328
1445682663,3666,606420040
1445943605,3668,606406984
1446030908,3667,606382408
1446117949,3667,606368072
1446206080,3669,606349640
1446310157,3671,606341192
1446570607,3671,606333000
1446657604,3671,606322760
1446744611,3669,606299976
1446831606,3670,606289224
